Country Name	Country Code	Time	Time Code	GDP (constant 2010 US$) [NY.GDP.MKTP.KD]	GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]	GNI (constant 2010 US$) [NY.GNP.MKTP.KD]	GNI growth (annual %) [NY.GNP.MKTP.KD.ZG]	"Population, total [SP.POP.TOTL]"	Population growth (annual %) [SP.POP.GROW]	"Manufacturing, value added (constant 2010 US$) [NV.IND.MANF.KD]"	Medium and high-tech Industry (including construction) (% manufacturing value added) [NV.MNF.TECH.ZS.UN]	Households and NPISHs Final consumption expenditure (constant 2010 US$) [NE.CON.PRVT.KD]	Broad money (% of GDP) [FM.LBL.BMNY.GD.ZS]	"Official exchange rate (LCU per US$, period average) [PA.NUS.FCRF]"	Consumer price index (2010 = 100) [FP.CPI.TOTL]	"Unemployment, total (% of total labor force) (national estimate) [SL.UEM.TOTL.NE.ZS]"	Total greenhouse gas emissions (kt of CO2 equivalent) [EN.ATM.GHGT.KT.CE]	Lending interest rate (%) [FR.INR.LEND]	"Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]"	"Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]"	"Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]"	"Net trade in goods and services (BoP, current US$) [BN.GSR.GNFS.CD]"	Military expenditure (% of central government expenditure) [MS.MIL.XPND.ZS]	Final consumption expenditure (constant 2010 US$) [NE.CON.TOTL.KD]
Saudi Arabia	SAU	2005	YR2005	4.62E+11	5.573850121	4.65E+11	5.798900424	23905654	2.87182374	41990698347	41.71362077	1.07E+11	44.64607047	3.75	77.2467619	6.050899982	..	..	..	3.612	24.234	1.04E+11	27.46146142	1.99E+11
Saudi Arabia	SAU	2015	YR2015	6.79E+11	4.10640887	6.95E+11	4.752696362	31557144	2.504137257	79584427840	35.40970571	2.27E+11	73.26663794	3.75	118.2443456	5.590000153	..	..	..	3.54	19.921	-29296857411	32.72726363	3.91E+11
Sudan	SDN	1990	YR1990	19818836076	-5.470053776	18173524777	-8.726404878	20147590	3.392181613	1063906435	..	18514563320	21.33771068	0.0045	0.234030024	..	92666.85	..	..	12.045	41.81	-377800000	17.09677419	20064898946
Sudan	SDN	2005	YR2005	46433219017	7.489738142	43079289165	8.656637577	30911914	2.375213863	2373237440	..	35272951135	20.84636655	2.436058333	59.99364358	..	536024.45	..	..	9.236	37.709	-2477690567	16.76611331	40196630378
Sudan	SDN	2015	YR2015	72731117404	4.906045175	66695543561	6.014759795	38647803	2.382469096	..	..	43703892784	16.11535395	6.025732598	349.8194047	..	..	..	..	7.522	33.315	-5250554114	21.68360904	51845802608
Senegal	SEN	1990	YR1990	6398540802	-0.67563815	6166861293	-0.049183882	7555617	3.050675841	897648188.7	13.90959722	4971984246	22.56298169	272.264788	54.08440292	..	11016.4282	..	..	11.367	43.096	-387233328.2	..	6159623255
Senegal	SEN	2005	YR2005	10885585457	5.622606857	10770527860	5.718540439	11251266	2.659851562	1441054154	15.34056411	8255151360	28.15976379	527.4681428	87.09590107	..	50288.842	7.049166667	..	9.142	38.599	-1340118848	6.055295788	9864659636
Senegal	SEN	2015	YR2015	15770157927	6.456907802	15326185895	5.978762802	14976994	2.919161773	1916810394	21.64679826	11981752302	45.96664141	591.4495075	104.6043336	6.971899986	..	5.154166667	..	6.071	36.208	..	5.264749877	14241168332
Singapore	SGP	1990	YR1990	67580784745	10.04421048	66918195078	9.608424695	3047132	3.889093607	13506637330	64.75930285	30267033370	87.71432178	1.812533333	71.81661113	..	..	7.3625	89.09600067	4.7	18.2	2536670590	25.79575073	36301576824
Singapore	SGP	2005	YR2005	1.71E+11	7.489157459	1.59E+11	7.881677005	4265762	2.350511289	33781518152	82.7552692	70724899157	103.6418892	1.6643975	87.95158665	3.400000095	47597.8146	5.3	..	4.4	10.2	37978127220	29.52980907	88526145948
